Source,Target
1150,2800
1150,5626
1150,12763
898,12764
898,9849
844,12765
844,9084
844,12766
844,845
844,12763
12401,786
12401,2186
12401,4168
12401,4284
12401,4530
12401,4117
12401,5243
12401,8236
12401,8799
12401,11388
12401,12402
12401,12763
8976,9084
8976,12766
10901,10947
10901,6132
10901,12767
10901,12768
10901,12766
10901,12763
12107,12765
12107,12769
8223,11719
8223,12138
8223,2449
8223,10550
8223,212
8223,12763
11420,12763
11420,5016
12107,12770
12107,12764
12107,12767
12107,6132
11124,8236
11124,12763
11420,12771
11420,12766
11420,815
2141,2139
2141,12764
5921,12772
5921,12763
5921,6532
5921,9666
11420,12773
11420,12770
11420,12764
594,5016
594,12774
594,10141
594,8883
594,9636
594,12769
594,12770
594,12764
594,9562
594,12763
9642,9633
9642,12763
4088,12763
4088,6233
4088,4530
9709,10326
9709,11388
9709,3502
9709,4047
9709,6191
9709,9138
9709,12663
9709,12664
9709,12763
9709,10120
6375,12763
6375,3645
10344,2186
10344,5498
10344,2187
10344,9593
10344,12763
10344,11388
10344,12765
10344,9084
10344,9473
10344,10764
10344,5948
3697,10235
3697,12566
3697,6132
3697,12765
3697,10282
3697,12763
3697,11143
3697,5010
6855,11497
6855,7057
6208,12763
6208,6157
6208,6132
6208,4214
6208,1665
6208,6240
10942,9138
10942,9570
5762,5642
5762,8236
410,12764
410,12763
9501,12763
9501,12765
9501,9138
9501,12663
5360,1657
5360,2645
5360,3645
5360,4168
5360,12770
5360,5823
5360,6132
5360,6157
5360,7057
5360,12775
5360,8899
5360,9084
5360,12764
5360,12766
5360,12763
5360,7248
5360,11497
2228,12764
2228,12766
2228,4841
2228,12664
2228,5386
9610,8646
12541,12763
12541,12663
12541,4841
5567,12763
5567,6430
5567,6132
5567,1586
3156,12763
3417,9138
3417,5386
3417,2499
3417,3803
3417,952
3417,8236
3417,2186
3465,8236
3465,5998
3465,12765
3465,12763
3676,10947
3676,6095
3676,10552
5518,1055
5518,9633
5518,12763
10326,12663
10326,9138
2190,2186
2190,9385
2190,5386
2190,12766
2190,2099
7513,12764
7513,6744
7513,1253
7513,4168
7513,7351
7513,12770
7513,12766
7513,12763
7786,542
7786,694
7786,1442
7786,3391
7786,12765
1553,4168
1553,12769
1553,12770
1553,12763
6431,10566
6431,6167
6431,12377
6431,1720
6431,6516
6431,10033
6431,8202
6431,4117
6431,5451
6431,2186
6431,2673
6431,4446
6431,7036
6431,8236
6431,12763
6431,6430
6431,8671
6431,4168
6431,9471
4955,12763
4955,12764
4955,12770
4955,11497
4955,4968
4955,8392
4955,6132
4726,11053
4726,12765
4726,12764
4726,12766
4726,7057
4726,5539
4726,2333
4726,6157
4726,6095
4726,3502
4726,9465
7891,12765
7891,12764
7891,12770
7891,7524
7891,5448
7891,1425
7891,1971
7891,12763
7891,1528
5297,4520
5297,2186
5297,11191
5297,8236
5297,8880
5297,8979
5297,4168
5297,3491
5297,12763
5397,9084
5397,12765
5397,12764
5397,12763
5397,6132
886,689
886,1882
886,7057
886,6157
3501,12764
3501,5322
3501,9084
9443,5386
9443,12763
9443,4841
2615,9084
2615,12763
7186,11296
7186,12765
7186,12763
7186,7181
2609,12765
2609,12763
6103,6132
5913,12763
5913,7248
5913,4168
5913,9849
5913,3671
5913,6132
9399,12766
9399,12770
9399,5386
9399,9084
9399,6157
9399,12763
6614,12763
6614,6132
6614,5768
6614,6952
1398,12763
4045,12663
